[2025-01-04 13:01:55] [class-ss-archive-creation-job.php:97] Starting a job; no job is presently running
[2025-01-04 13:01:55] [class-ss-setup-task.php:157] Adding file C:/Users/jeroe/Local Sites/aboutme/app/public/wp-content\plugins\simply-static\src\handlers\class-ss-page-handler.php to queue as: http://aboutme.local/wp-content/plugins/simply-static/src/handlers/class-ss-page-handler.php
[2025-01-04 13:01:55] [class-ss-setup-task.php:157] Adding file C:/Users/jeroe/Local Sites/aboutme/app/public/wp-content\plugins\simply-static\src\handlers\class-ss-rank-math-sitemap-handler.php to queue as: http://aboutme.local/wp-content/plugins/simply-static/src/handlers/class-ss-rank-math-sitemap-handler.php
[2025-01-04 13:01:55] [class-ss-setup-task.php:157] Adding file C:/Users/jeroe/Local Sites/aboutme/app/public/wp-content\plugins\simply-static\src\handlers\class-ss-yoast-sitemap-handler.php to queue as: http://aboutme.local/wp-content/plugins/simply-static/src/handlers/class-ss-yoast-sitemap-handler.php
[2025-01-04 13:01:55] [class-ss-setup-task.php:157] Adding file C:/Users/jeroe/Local Sites/aboutme/app/public/wp-content\plugins\simply-static\src\index.php to queue as: http://aboutme.local/wp-content/plugins/simply-static/src/index.php
[2025-01-04 13:01:55] [class-ss-setup-task.php:157] Adding file C:/Users/jeroe/Local Sites/aboutme/app/public/wp-content\plugins\simply-static\src\integrations\class-aio-seo-integration.php to queue as: http://aboutme.local/wp-content/plugins/simply-static/src/integrations/class-aio-seo-integration.php
[2025-01-04 13:01:55] [class-ss-setup-task.php:157] Adding file C:/Users/jeroe/Local Sites/aboutme/app/public/wp-content\plugins\simply-static\src\integrations\class-brizy-integration.php to queue as: http://aboutme.local/wp-content/plugins/simply-static/src/integrations/class-brizy-integration.php
[2025-01-04 13:01:55] [class-ss-setup-task.php:157] Adding file C:/Users/jeroe/Local Sites/aboutme/app/public/wp-content\plugins\simply-static\src\integrations\class-cookie-yes-integration.php to queue as: http://aboutme.local/wp-content/plugins/simply-static/src/integrations/class-cookie-yes-integration.php
[2025-01-04 13:01:55] [class-ss-setup-task.php:157] Adding file C:/Users/jeroe/Local Sites/aboutme/app/public/wp-content\plugins\simply-static\src\integrations\class-elementor-integration.php to queue as: http://aboutme.local/wp-content/plugins/simply-static/src/integrations/class-elementor-integration.php
[2025-01-04 13:01:55] [class-ss-setup-task.php:157] Adding file C:/Users/jeroe/Local Sites/aboutme/app/public/wp-content\plugins\simply-static\src\integrations\class-elementor-pro-integration.php to queue as: http://aboutme.local/wp-content/plugins/simply-static/src/integrations/class-elementor-pro-integration.php
[2025-01-04 13:01:55] [class-ss-setup-task.php:157] Adding file C:/Users/jeroe/Local Sites/aboutme/app/public/wp-content\plugins\simply-static\src\integrations\class-integration.php to queue as: http://aboutme.local/wp-content/plugins/simply-static/src/integrations/class-integration.php
[2025-01-04 13:01:55] [class-ss-setup-task.php:157] Adding file C:/Users/jeroe/Local Sites/aboutme/app/public/wp-content\plugins\simply-static\src\integrations\class-jetpack-integration.php to queue as: http://aboutme.local/wp-content/plugins/simply-static/src/integrations/class-jetpack-integration.php
[2025-01-04 13:01:55] [class-ss-setup-task.php:157] Adding file C:/Users/jeroe/Local Sites/aboutme/app/public/wp-content\plugins\simply-static\src\integrations\class-pro-integration.php to queue as: http://aboutme.local/wp-content/plugins/simply-static/src/integrations/class-pro-integration.php
[2025-01-04 13:01:55] [class-ss-setup-task.php:157] Adding file C:/Users/jeroe/Local Sites/aboutme/app/public/wp-content\plugins\simply-static\src\integrations\class-rank-math-integration.php to queue as: http://aboutme.local/wp-content/plugins/simply-static/src/integrations/class-rank-math-integration.php
[2025-01-04 13:01:55] [class-ss-setup-task.php:157] Adding file C:/Users/jeroe/Local Sites/aboutme/app/public/wp-content\plugins\simply-static\src\integrations\class-seopress-integration.php to queue as: http://aboutme.local/wp-content/plugins/simply-static/src/integrations/class-seopress-integration.php
[2025-01-04 13:01:55] [class-ss-setup-task.php:157] Adding file C:/Users/jeroe/Local Sites/aboutme/app/public/wp-content\plugins\simply-static\src\integrations\class-ss-adminbar-integration.php to queue as: http://aboutme.local/wp-content/plugins/simply-static/src/integrations/class-ss-adminbar-integration.php
[2025-01-04 13:01:55] [class-ss-setup-task.php:157] Adding file C:/Users/jeroe/Local Sites/aboutme/app/public/wp-content\plugins\simply-static\src\integrations\class-yoast-integration.php to queue as: http://aboutme.local/wp-content/plugins/simply-static/src/integrations/class-yoast-integration.php
[2025-01-04 13:01:55] [class-ss-setup-task.php:157] Adding file C:/Users/jeroe/Local Sites/aboutme/app/public/wp-content\plugins\simply-static\src\integrations\pro\class-complianz-integration.php to queue as: http://aboutme.local/wp-content/plugins/simply-static/src/integrations/pro/class-complianz-integration.php
[2025-01-04 13:01:55] [class-ss-setup-task.php:157] Adding file C:/Users/jeroe/Local Sites/aboutme/app/public/wp-content\plugins\simply-static\src\integrations\pro\class-environments-integration.php to queue as: http://aboutme.local/wp-content/plugins/simply-static/src/integrations/pro/class-environments-integration.php
[2025-01-04 13:01:55] [class-ss-setup-task.php:157] Adding file C:/Users/jeroe/Local Sites/aboutme/app/public/wp-content\plugins\simply-static\src\integrations\pro\class-github-integration.php to queue as: http://aboutme.local/wp-content/plugins/simply-static/src/integrations/pro/class-github-integration.php
[2025-01-04 13:01:55] [class-ss-setup-task.php:157] Adding file C:/Users/jeroe/Local Sites/aboutme/app/public/wp-content\plugins\simply-static\src\integrations\pro\class-multilingual-integration.php to queue as: http://aboutme.local/wp-content/plugins/simply-static/src/integrations/pro/class-multilingual-integration.php
[2025-01-04 13:01:55] [class-ss-setup-task.php:157] Adding file C:/Users/jeroe/Local Sites/aboutme/app/public/wp-content\plugins\simply-static\src\integrations\pro\class-redirection-integration.php to queue as: http://aboutme.local/wp-content/plugins/simply-static/src/integrations/pro/class-redirection-integration.php
